date,dayofyear,month,is_weekend,is_holiday,season,temperature,humidity,voltage,current,frequency,energy
2020-01-01,1,1,False,False,0,26.165561867580813,59.99196877323988,235.4543083530185,8.42825753852626,50.7465015522216,2004.811931111804
2020-01-02,2,1,False,False,0,25.067687513885087,68.82268376408061,227.6853024398737,11.991701774482495,49.91993493020103,2781.1038617255786
2020-01-03,3,1,False,False,0,26.811573748433922,53.512342045723905,229.25029640460446,9.99061701663773,50.309180283129834,2231.7603473054587
2020-01-04,4,1,True,True,0,28.734083980839248,45.115382243834446,222.83424092737644,10.903994250746159,50.72780023962865,1995.1796468968487
2020-01-05,5,1,True,True,0,25.391341237927794,55.99501534154782,227.376687964666,9.421802725992713,50.51582688728759,1681.4450243118215
2020-01-06,6,1,False,False,0,25.562743060575986,62.588814236595354,232.46827423821574,10.617314994559646,49.29554044865474,2486.311387908538
2020-01-07,7,1,False,False,0,29.36050608000831,66.53559701233263,236.480315308907,9.057779371173313,50.22244794750494,2116.4918240502966
2020-01-08,8,1,False,False,0,27.907657179438466,50.25692031322667,224.46421591598775,10.863904154599465,50.42535969723032,2447.666259234216
2020-01-09,9,1,False,False,0,25.604139434772907,58.550038320311074,228.17247031507367,10.10695237760701,50.445931511080374,2350.7221730839124
2020-01-10,10,1,False,False,0,27.798051528986704,53.403029407303805,229.2435038988374,10.54306993648,49.44335258294269,2355.5795902247414
2020-01-11,11,1,True,True,0,25.955431712807517,54.86414482386708,223.02105398903757,11.26265415965983,49.67148238149134,1975.4519062837412
2020-01-12,12,1,True,True,0,26.119585491545678,68.28127312546647,232.956746208792,9.382773188385578,50.49727911787081,1757.8723792722221
2020-01-13,13,1,False,False,0,27.703139673173723,47.211838503464094,226.38004834128697,9.9812728083997,49.619119814658674,2379.640203924615
2020-01-14,14,1,False,False,0,23.560167170743902,55.66408480348855,229.02304824411488,11.173342579104617,49.85015197166784,2515.793490933958
2020-01-15,15,1,False,False,0,24.103697286135805,56.40420947335735,227.74025314044061,12.864281359895308,50.78793790475098,3031.7213876722553
2020-01-16,16,1,False,False,0,26.59500651685911,59.1667908059802,226.05330747140164,10.677792137940836,49.97610037480761,2513.971394457413
2020-01-17,17,1,False,False,0,25.859162088137243,53.90174612286387,229.96477507259723,11.45658341656576,49.63661293108308,2629.745070955913
